Pattern, Sequence, Operation, Path, Min, Q1, Med, Q3, Max, n
SUBLST, 1, total, , 47, 56.0, 60.0, 69.5, 109, 84
, , SCAN, /customers, 36, 43.0, 46.0, 51.5, 90, 84
, , SCAN, /carts/{customerId}/items, 9, 11.5, 13.0, 17.5, 42, 84
SUBLST, 2, total, , 46, 54.5, 58.0, 64.5, 158, 83
, , SCAN, /customers, 35, 42.5, 45.0, 50.5, 128, 83
, , SCAN, /customers/{id}/addresses, 9, 10.0, 13.0, 15.5, 36, 83
SUBLST, 3, total, , 46, 56.0, 63.0, 71.0, 120, 83
, , SCAN, /customers, 37, 44.0, 47.0, 55.0, 93, 83
, , SCAN, /customers/{id}/cards, 9, 10.0, 14.0, 17.0, 31, 83
TWOIN, 1, total, , 59, 68.0, 74.0, 84.0, 147, 125
, , SCAN, /customers, 36, 43.0, 46.0, 53.0, 87, 125
, , SCAN, /catalogue, 5, 6.0, 7.0, 10.0, 33, 125
, , CREATE, /carts/{customerId}/items, 15, 16.0, 18.0, 21.0, 47, 125
TWOIN, 2, total, , 63, 72.0, 78.0, 89.0, 622, 125
, , SCAN, /catalogue, 4, 5.0, 6.0, 8.0, 486, 125
, , SCAN, /customers, 36, 42.0, 47.0, 52.0, 78, 125
, , CREATE, /carts/{customerId}/items, 18, 21.0, 24.0, 28.0, 64, 125
DEL, 1, total, , 38, 50.0, 55.0, 61.0, 550, 41
, , SCAN, /addresses, 24, 29.0, 34.0, 38.0, 477, 41
, , READ, /addresses/{id}, 8, 8.0, 10.0, 15.0, 51, 41
, , DELETE, /addresses/{id}, 6, 7.0, 8.0, 13.0, 36, 41
DEL, 2, total, , 56, 64.0, 71.0, 76.0, 116, 42
, , SCAN, /customers, 39, 42.0, 46.5, 53.0, 80, 42
, , READ, /carts/{customerId}, 10, 11.0, 14.0, 18.0, 35, 42
, , DELETE, /carts/{customerId}, 5, 7.0, 7.0, 9.0, 15, 42
DEL, 3, total, , 52, 63.0, 70.0, 80.0, 116, 42
, , SCAN, /customers, 36, 44.0, 46.0, 54.0, 84, 42
, , READ, /carts/{customerId}, 10, 11.0, 13.5, 16.0, 35, 42
, , DELETE, /customers/{id}, 5, 6.0, 8.0, 10.0, 23, 42
DEL, 4, total, , 55, 63.0, 69.0, 79.0, 99, 41
, , SCAN, /customers, 38, 43.0, 46.0, 51.0, 78, 41
, , READ, /customers/{id}, 9, 11.0, 13.0, 17.0, 28, 41
, , DELETE, /customers/{id}, 4, 6.0, 7.0, 9.0, 24, 41
DEL, 5, total, , 55, 63.0, 74.5, 80.0, 114, 42
, , SCAN, /customers, 38, 43.0, 48.5, 57.0, 89, 42
, , READ, /customers/{id}, 9, 10.0, 13.0, 17.0, 21, 42
, , DELETE, /carts/{customerId}, 6, 7.0, 8.0, 10.0, 19, 42
DEL, 6, total, , 35, 44.0, 48.0, 55.0, 72, 42
, , SCAN, /cards, 21, 24.0, 27.0, 31.0, 40, 42
, , READ, /cards/{id}, 7, 8.0, 10.0, 14.0, 26, 42
, , DELETE, /cards/{id}, 6, 7.0, 9.0, 13.0, 27, 42
LST, 1, total, , 50, 56.0, 63.0, 74.0, 116, 50
, , SCAN, /customers, 38, 43.0, 48.0, 59.0, 86, 50
, , READ, /carts/{customerId}, 10, 11.0, 13.0, 17.0, 41, 50
LST, 2, total, , 32, 39.0, 43.0, 53.0, 111, 50
, , SCAN, /addresses, 24, 28.0, 32.0, 38.0, 76, 50
, , READ, /addresses/{id}, 7, 9.0, 12.0, 16.0, 50, 50
LST, 3, total, , 9, 10.0, 12.0, 17.0, 36, 50
, , SCAN, /catalogue, 4, 5.0, 6.0, 8.0, 22, 50
, , READ, /catalogue/{id}, 4, 5.0, 5.0, 9.0, 28, 50
LST, 4, total, , 29, 34.0, 38.5, 48.0, 69, 50
, , SCAN, /cards, 21, 26.0, 27.5, 31.0, 52, 50
, , READ, /cards/{id}, 6, 8.0, 9.0, 14.0, 21, 50
LST, 5, total, , 45, 55.0, 63.5, 69.0, 96, 50
, , SCAN, /customers, 36, 44.0, 47.0, 53.0, 73, 50
, , READ, /customers/{id}, 9, 11.0, 14.0, 18.0, 30, 50
